id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
1817,Casey Eichfeld,USA,male,11/15/1989,1.78,77,canoe,0,0,0,0,1989,27
1818,Casey Patterson,USA,male,4/20/1980,1.99,88,volleyball,0,0,0,0,1980,36
1819,Casey Sablowski,AUS,female,3/19/1989,1.7,62,hockey,0,0,0,0,1989,27
1820,Casper Mortensen,DEN,male,12/14/1989,1.9,88,handball,1,0,0,1,1989,27
1821,Casper Nielsen,DEN,male,4/29/1994,1.8,70,football,0,0,0,0,1994,22
1822,Casper Pedersen,DEN,male,3/15/1996,1.86,74,cycling,0,0,0,0,1996,20
1823,Casper von Folsach,DEN,male,3/30/1993,1.91,82,cycling,0,0,1,1,1993,23
1824,Cassandre Beaugrand,FRA,female,5/23/1997,1.77,54,triathlon,0,0,0,0,1997,19
1825,Cassio Cesar Rippel,BRA,male,5/2/1978,1.93,95,shooting,0,0,0,0,1978,38
1826,Cassio Rivetti,UKR,male,2/20/1980,1.75,65,equestrian,0,0,0,0,1980,36
1827,Caster Semenya,RSA,female,1/7/1991,1.78,70,athletics,1,0,0,1,1991,25
1828,Catalina Elena Escobar Gomez,COL,female,9/21/1990,1.56,50,gymnastics,0,0,0,0,1990,26
1829,Catalina Perez,COL,female,11/8/1994,1.74,60,football,0,0,0,0,1994,22
1830,Catalina Ponor,ROU,female,8/20/1987,1.56,47,gymnastics,0,0,0,0,1987,29
1831,Catalina Usme,COL,female,12/25/1989,1.68,67,football,0,0,0,0,1989,27
1832,Cate Campbell,AUS,female,5/20/1992,1.86,74,aquatics,1,1,0,2,1992,24
1833,Caterine Ibarguen,COL,female,2/12/1984,1.85,70,athletics,1,0,0,1,1984,32
1834,Catharine Pendrel,CAN,female,9/30/1980,1.66,50,cycling,0,0,1,1,1980,36
1835,Catherine Abilla,KEN,female,4/1/1989,1.62,56,rugby sevens,0,0,0,0,1989,27
1836,Catherine Beauchemin-Pinard,CAN,female,6/26/1994,1.61,57,judo,0,0,0,0,1994,22
1837,Catherine Bertone,ITA,female,5/6/1972,1.6,45,athletics,0,0,0,0,1972,44
1838,Catherine Bott,NZL,female,4/22/1995,1.65,62,football,0,0,0,0,1995,21
1839,Catherine Meili,USA,female,4/16/1991,1.71,61,aquatics,1,0,1,2,1991,25
1840,Catherine Skinner,AUS,female,2/11/1990,1.72,80,shooting,1,0,0,1,1990,26
1841,Cathrine Dufour,DEN,female,1/2/1992,1.7,68,equestrian,0,0,0,0,1992,24
1842,Catia Azevedo,POR,female,3/9/1994,1.7,50,athletics,0,0,0,0,1994,22
1843,Catriel Andres Soto,ARG,male,4/29/1987,1.75,68,cycling,0,0,0,0,1987,29
1844,Catriona Matthew,GBR,female,8/25/1969,1.63,60,golf,0,0,0,0,1969,47
1845,Cayla George,AUS,female,5/1/1989,1.92,90,basketball,0,0,0,0,1989,27
1846,Caylee Watson,ISV,female,10/10/1994,1.86,89,aquatics,0,0,0,0,1994,22
1847,Cazuo Matsumoto,BRA,male,8/2/1985,1.8,88,table tennis,0,0,0,0,1985,31
1848,Cecil Afrika,RSA,male,3/3/1988,1.75,75,rugby sevens,0,0,1,1,1988,28
1849,Cecile Pieper,GER,female,8/31/1994,1.66,56,hockey,0,0,1,1,1994,22
1850,Cecilia Berder,FRA,female,12/13/1989,1.74,65,fencing,0,0,0,0,1989,27
1851,Cecilia Bouele,CGO,female,1/7/1993,1.66,60,athletics,0,0,0,0,1993,23
1852,Cecilia Carranza Saroli,ARG,female,12/29/1986,1.64,63,sailing,1,0,0,1,1986,30
